Date of sale,Time of sale,Date of listing,Bundle,Bundle - amount of items,Buyer,Brand,Description,Size,Item price,Buyer shipping cost,Total,USPS Cost,Depop fee,Depop Payments fee,Buyer Marketplace Fee,Boosting fee,Payment type,Estimated payout date,Payout arrival date,Category,Name,Address Line 1,Address Line 2,City,State,Post Code,Country,US Sales tax,Refunded to buyer amount,Fees refunded to seller
4/11/2026,10:51 PM,4/5/2026,No,N/A,adam54,Express,"Express navy y2k bottom in size m

#y2k #navy #thrift #depop",M,$17.30 ,$4.99 ,$24.02 ,$0.00 ,$0.00 ,$1.37 ,$1.73 ,-,STRIPE,4/13/2026,4/16/2026,Bottoms,Cheryl Ortega,463 Valencia Key,,Smithhaven,FL,70198,US,$0.97 ,N/A,N/A
4/13/2026,12:30 PM,3/19/2026,No,N/A,nthomas,LOFT,"LOFT navy athletic accessorie in size l

#athletic #navy #thrift #depop",L,$24.81 ,$3.99 ,$31.28 ,$0.00 ,$0.00 ,$1.96 ,$2.48 ,-,STRIPE,4/15/2026,4/18/2026,Accessories,Emma Porter,1521 Smith Village,,West Javierfurt,OR,44640,US,,N/A,N/A
4/13/2026,2:24 PM,4/1/2026,No,N/A,oarmstrong,Other,"Other white lace bottom in size m

#lace #white #thrift #depop",M,$26.62 ,$4.99 ,$34.27 ,$0.00 ,$0.00 ,$2.10 ,$2.66 ,-,STRIPE,4/15/2026,4/18/2026,Bottoms,Karen Jackson,378 Danny Underpass,,Jonestown,IL,75161,US,$2.01 ,N/A,N/A
4/14/2026,8:22 AM,3/25/2026,No,N/A,derek63,Free People,"Free People green athletic coats/jacket in size s

#athletic #green #thrift #depop",S,$7.42 ,$7.99 ,$16.15 ,$0.00 ,$0.00 ,$0.59 ,$0.74 ,-,STRIPE,4/16/2026,4/19/2026,Coats/Jackets,Valerie Bowman,8625 Nielsen Curve Apt. 961,,North Douglasburgh,NY,23785,US,$0.52 ,N/A,N/A
4/16/2026,7:33 PM,4/1/2026,No,N/A,mjames,Old Navy,"Old Navy pink y2k swimwear in size s

#y2k #pink #thrift #depop",S,$9.00 ,$3.99 ,$13.89 ,$0.00 ,$0.00 ,$0.71 ,$0.90 ,-,STRIPE,4/18/2026,4/21/2026,Swimwear,David Wolf,688 Shawna Overpass Apt. 699,,Port Rachel,OR,49519,US,-,N/A,N/A
4/17/2026,3:27 PM,3/21/2026,No,N/A,cynthia95,Express,"Express blue vintage coats/jacket in size l

#vintage #blue #thrift #depop",L,$20.09 ,$5.99 ,$28.09 ,$0.00 ,$0.00 ,$1.59 ,$2.01 ,-,STRIPE,4/19/2026,4/22/2026,Coats/Jackets,Christopher Chapman,0058 Angela Highway,,Port Scott,IL,91666,US,$1.34 ,N/A,N/A
4/20/2026,11:38 AM,4/11/2026,No,N/A,khanrobert,Zara,"Zara gray y2k dresse in size xl

#y2k #gray #thrift #depop",XL,$15.61 ,$6.49 ,$23.66 ,$0.00 ,$0.00 ,$1.23 ,$1.56 ,-,STRIPE,4/22/2026,4/25/2026,Dresses,Andrea Carter,8246 Ortiz Shoals Apt. 469,,Leemouth,OH,26408,US,$0.73 ,N/A,N/A
4/21/2026,6:52 PM,4/1/2026,No,N/A,nhensley,Express,"Express pink casual swimwear in size l

#casual #pink #thrift #depop",L,$26.67 ,$7.99 ,$37.33 ,$0.00 ,$0.00 ,$2.11 ,$2.67 ,-,STRIPE,4/23/2026,4/26/2026,Swimwear,Matthew Horn,81756 Joseph Avenue Suite 358,,South Aprilborough,OH,79866,US,-,N/A,N/A
4/23/2026,5:25 PM,3/30/2026,No,N/A,wdavila,Old Navy,"Old Navy navy athletic bottom in size l

#athletic #navy #thrift #depop",L,$15.16 ,$7.99 ,$24.67 ,$0.00 ,$0.00 ,$1.20 ,$1.52 ,-,STRIPE,4/25/2026,4/28/2026,Bottoms,Tristan Espinoza,282 Daniel Extension Suite 616,,East Kyletown,CA,50447,US,$0.67 ,N/A,N/A
4/23/2026,1:57 PM,4/7/2026,No,N/A,xcruz,Express,"Express navy boho coats/jacket in size xs

#boho #navy #thrift #depop",XS,$23.52 ,$6.49 ,$32.36 ,$0.00 ,$0.00 ,$1.86 ,$2.35 ,-,STRIPE,4/25/2026,4/28/2026,Coats/Jackets,Catherine Johnson,673 Nash Fork Suite 153,,South Kenneth,CA,99002,US,$1.56 ,N/A,N/A
4/23/2026,7:25 PM,4/12/2026,No,N/A,aaroncollins,Express,"Express white athletic dresse in size s

#athletic #white #thrift #depop",S,$13.63 ,$7.99 ,$22.98 ,$0.00 ,$0.00 ,$1.08 ,$1.36 ,-,STRIPE,4/25/2026,4/28/2026,Dresses,Nicole Jackson,46788 Gonzalez Brooks Apt. 419,,North Robertstad,PA,73538,US,$0.78 ,N/A,N/A
4/23/2026,7:49 PM,3/26/2026,No,N/A,james16,H&M,"H&M green athletic coats/jacket in size l

#athletic #green #thrift #depop",L,$7.78 ,$3.99 ,$12.55 ,$0.00 ,$0.00 ,$0.61 ,$0.78 ,-,STRIPE,4/25/2026,4/28/2026,Coats/Jackets,Christopher Murray,76682 Wright Harbor,,Armstrongfurt,GA,24574,US,$0.59 ,N/A,N/A
